satisfactory_Level,last_Evaluation,number_Of_Projects,avg_Monthly_Hours,time_Spent_Company,work_Accident,left,promotion_In_Last5years,dept,salary
1618,0.87,0.65,4,246,2,1,0,0,sales,low
1619,0.33,0.4,4,212,2,1,0,0,accounting,low
1620,0.94,0.93,4,220,3,0,0,0,accounting,low
1621,0.48,0.82,3,183,2,0,0,0,hr,low
1622,0.61,0.98,4,199,2,0,0,0,technical,low
1623,0.97,0.4,4,258,4,1,0,0,technical,medium
1624,0.93,0.84,5,135,3,0,0,0,technical,medium
1625,0.48,0.69,4,222,2,0,0,0,technical,medium
1626,0.84,0.75,3,187,3,1,0,0,technical,medium
1627,0.22,0.88,4,213,3,1,0,0,technical,medium
1628,0.58,0.5,2,132,3,0,0,0,support,medium
1629,0.67,0.5,4,173,2,1,0,0,support,high
1630,0.56,0.76,4,189,2,0,0,0,support,low
1631,0.74,0.74,3,156,3,0,0,0,support,medium
1632,0.81,0.68,5,230,2,0,0,0,support,medium
1633,0.73,0.72,4,197,3,0,0,0,support,low
1634,0.97,0.66,6,164,5,0,0,0,support,low
1635,0.69,0.76,5,255,6,0,0,0,technical,low
1636,0.61,0.68,5,225,4,0,0,0,technical,low
1637,0.55,0.88,4,252,3,0,0,0,management,low
1638,0.9,0.74,4,206,4,1,0,0,IT,low
1639,0.93,0.53,3,200,3,1,0,0,product_mng,low
1640,0.87,0.84,5,137,2,0,0,0,product_mng,low
1641,0.21,0.7,6,130,6,1,0,0,RandD,low
1642,0.75,0.59,4,199,2,0,0,0,RandD,low
1643,0.88,0.63,3,273,3,1,0,0,RandD,low
1644,0.66,0.58,3,205,3,0,0,0,RandD,medium
1645,0.92,0.69,3,192,3,0,0,0,accounting,medium
1646,0.54,0.77,4,271,3,0,0,0,support,medium
1647,0.91,0.56,4,158,3,0,0,0,technical,medium
1648,0.77,0.83,4,231,2,0,0,0,management,medium
1649,0.48,0.9,4,201,4,0,0,0,marketing,medium
1650,0.91,0.7,3,132,4,0,0,0,sales,medium
1651,0.72,0.58,5,147,3,1,0,0,sales,medium
1652,0.41,0.4,2,194,2,0,0,0,sales,low
1653,0.51,0.49,4,234,2,0,0,0,sales,medium
1654,0.72,0.79,3,149,3,0,0,0,sales,medium
1655,0.47,0.57,3,162,3,1,0,0,sales,medium
1656,0.65,0.52,5,149,3,0,0,0,sales,low
1657,0.61,0.48,3,250,2,0,0,0,sales,low
1658,0.79,0.57,3,250,3,0,0,0,sales,low
1659,0.85,0.75,4,139,3,0,0,0,sales,low
1660,0.91,0.76,5,152,3,0,0,0,accounting,low
1661,0.76,0.74,3,224,2,0,0,0,accounting,low
1662,0.62,0.72,5,180,3,0,0,0,accounting,low
1663,0.48,0.53,4,271,3,0,0,0,hr,low
1664,0.81,0.83,3,196,2,0,0,0,technical,low
1665,0.48,0.84,4,228,3,0,0,0,technical,medium
1666,0.96,0.88,4,165,2,0,0,0,technical,medium
1667,0.56,0.9,3,235,2,0,0,0,technical,medium
1668,0.63,0.96,4,167,2,0,0,0,technical,medium
1669,0.94,0.78,3,184,3,1,0,0,technical,medium
1670,0.94,0.89,4,239,3,0,0,0,technical,medium
1671,0.49,0.5,4,187,5,1,0,0,support,medium
1672,0.82,0.68,2,285,2,0,0,0,support,medium
1673,0.69,0.64,5,265,2,1,0,0,support,high
1674,0.62,0.66,4,143,3,0,0,0,support,medium
1675,0.4,0.99,4,214,6,1,0,0,support,medium
1676,0.76,0.84,4,236,4,0,0,0,support,medium
1677,0.58,0.69,3,146,4,0,0,0,support,low
1678,0.85,0.78,4,106,2,0,0,0,technical,low
1679,0.45,0.52,2,105,3,0,0,0,technical,low
1680,0.24,0.5,5,174,4,0,0,0,management,low
1681,0.64,0.69,3,207,2,1,0,0,IT,low
1682,0.63,0.61,6,118,2,0,0,0,IT,low
1683,0.71,0.99,2,136,3,0,0,0,IT,low
1684,0.9,0.89,5,249,3,1,0,0,IT,low
1685,0.17,0.76,4,171,5,0,0,0,product_mng,low
1686,0.93,0.97,3,256,2,1,0,0,product_mng,low
1687,0.83,0.89,5,141,3,1,0,0,product_mng,low
1688,0.76,0.5,3,258,3,0,0,0,IT,low
1689,0.5,0.78,3,228,2,0,0,0,RandD,low
1690,0.7,0.63,3,155,4,1,0,0,RandD,low
1691,0.73,0.85,5,245,3,0,0,0,RandD,low
1692,0.84,0.87,3,271,3,0,0,0,marketing,low
1693,0.63,0.98,4,175,2,0,0,0,sales,medium
1694,0.51,0.92,3,224,3,0,0,0,accounting,medium
1695,0.8,0.96,4,268,3,0,0,0,technical,medium
1696,0.9,0.87,5,219,2,0,0,0,marketing,medium
1697,0.65,0.67,5,128,5,0,0,0,marketing,medium
1698,0.75,0.75,3,273,3,0,0,0,marketing,medium
1699,0.62,0.49,4,218,4,0,0,0,sales,medium
1700,0.24,0.6,4,195,5,0,0,0,sales,medium
1701,0.44,0.66,3,162,2,0,0,0,sales,medium
1702,0.75,0.87,4,193,3,0,0,0,sales,medium
1703,0.74,0.84,3,239,4,0,0,0,sales,medium
1704,0.61,0.59,5,271,2,0,0,0,sales,low
1705,0.56,0.49,5,163,3,0,0,0,sales,low
1706,0.68,0.75,6,274,5,0,0,0,sales,low
1707,0.58,0.87,3,268,2,0,0,0,sales,low
1708,0.52,0.38,6,169,3,0,0,0,accounting,low
1709,0.69,0.5,3,208,4,0,0,0,hr,low
1710,0.46,0.62,2,187,3,0,0,0,hr,low
1711,0.72,0.62,4,256,3,0,0,0,hr,low
1712,0.3,0.37,6,278,3,0,0,0,technical,low
1713,0.43,0.75,3,108,2,0,0,0,technical,low
1714,0.63,0.91,4,246,3,0,0,0,technical,medium
1715,0.53,0.73,4,248,2,0,0,0,technical,medium
1716,0.68,0.7,4,185,4,0,0,0,technical,medium
1717,0.78,0.84,3,269,2,0,0,0,technical,medium
1718,0.49,0.95,4,156,2,0,0,0,technical,medium
1719,0.96,0.81,3,212,3,0,0,0,support,medium
1720,0.83,0.74,3,221,2,0,0,0,support,medium
1721,0.87,0.38,4,183,5,0,0,0,support,medium
1722,0.21,0.9,4,271,6,0,0,0,support,high
1723,0.8,0.96,3,257,5,0,0,0,support,medium
1724,0.78,0.82,4,143,3,0,0,0,support,medium
1725,0.67,0.65,5,156,2,0,0,0,support,medium
1726,0.67,0.71,3,190,3,1,0,0,support,medium
1727,0.51,0.48,5,136,4,0,0,0,management,low
1728,0.53,0.88,3,157,3,0,0,0,IT,low
1729,0.76,0.51,4,281,3,0,0,0,IT,low
1730,0.86,0.93,5,208,2,0,0,0,IT,low
1731,0.63,0.96,5,152,3,0,0,0,IT,low
1732,0.58,0.86,5,271,3,0,0,0,IT,low
1733,0.58,0.83,4,163,3,1,0,0,product_mng,low
1734,0.9,0.82,4,136,3,0,0,0,product_mng,low
1735,0.53,0.65,2,189,2,1,0,0,IT,low
1736,0.68,0.9,2,133,4,0,0,0,RandD,low
1737,0.21,0.61,3,173,2,0,0,0,RandD,low
1738,0.57,0.9,3,256,4,0,0,0,RandD,low
1739,0.99,0.72,3,119,2,1,0,0,marketing,low
1740,0.9,1.0,4,207,3,0,0,0,sales,medium
1741,0.76,0.64,3,189,3,0,0,0,accounting,medium
1742,0.5,0.93,6,150,3,1,0,0,technical,medium
1743,0.48,0.89,5,179,3,0,0,0,management,medium
1744,0.99,0.97,3,257,2,0,0,0,marketing,medium
1745,0.76,0.8,5,229,2,0,0,0,marketing,medium
1746,0.93,0.97,4,227,3,0,0,0,marketing,medium
1747,0.99,0.78,4,140,3,0,0,0,sales,medium
1748,0.63,0.95,4,137,3,0,0,0,sales,medium
1749,0.63,0.78,3,153,3,1,0,0,sales,medium
1750,0.63,0.99,3,247,3,0,0,0,sales,medium
1751,0.78,0.5,4,212,2,0,0,0,sales,medium
1752,0.14,1.0,5,174,5,0,0,0,sales,medium
1753,0.88,0.6,4,224,2,0,0,0,sales,low
1754,0.72,0.62,3,270,4,0,0,0,sales,low
1755,0.88,0.51,4,139,3,0,0,0,sales,low
1756,0.71,0.51,3,248,4,0,0,0,sales,low
1757,0.88,0.86,4,224,3,1,0,0,sales,low
1758,0.91,0.61,4,243,2,1,0,0,accounting,low
1759,0.82,0.62,4,202,2,0,0,0,accounting,low
1760,0.6,0.91,2,168,4,0,0,0,hr,low
1761,0.6,0.97,4,219,4,1,0,0,hr,low
1762,0.64,0.52,4,207,3,0,0,0,hr,low
1763,0.93,0.88,4,177,3,0,0,0,technical,low
1764,0.81,0.99,3,239,2,1,0,0,technical,low
1765,0.31,0.49,4,165,3,1,0,0,technical,low
1766,0.78,0.59,3,212,2,0,0,0,technical,low
1767,0.44,0.42,4,159,4,0,0,0,technical,medium
1768,0.64,0.93,4,233,2,1,0,0,technical,medium
1769,0.81,0.63,4,108,6,0,0,0,technical,medium
1770,0.5,0.49,3,214,3,0,0,0,technical,medium
1771,0.69,0.61,5,229,3,0,0,0,technical,medium
1772,0.77,0.75,4,223,3,0,0,0,technical,medium
1773,0.68,0.51,3,259,3,0,0,0,support,medium
1774,0.78,0.65,4,207,2,0,0,0,support,medium
1775,0.78,0.89,3,253,3,0,0,0,support,high
1776,0.54,0.75,3,240,3,0,0,0,support,medium
1777,0.76,0.56,3,255,3,0,0,0,support,medium
1778,0.4,0.72,3,139,2,0,0,0,support,medium
1779,0.86,0.98,5,233,3,0,0,0,technical,low
1780,0.38,0.68,5,211,6,0,0,0,technical,low
1781,0.55,0.76,4,233,4,0,0,0,IT,low
1782,0.7,0.82,3,178,3,0,0,0,IT,low
1783,0.96,0.72,3,272,3,0,0,0,product_mng,low
1784,0.6,0.77,4,157,4,0,0,0,product_mng,low
1785,0.54,0.94,5,229,3,1,0,0,product_mng,low
1786,0.85,0.9,5,202,3,0,0,0,IT,low
1787,0.86,0.62,3,256,3,1,0,0,RandD,low
1788,0.53,0.87,3,151,2,0,0,0,RandD,low
1789,0.91,0.95,3,251,3,0,0,0,RandD,low
1790,0.33,0.7,5,271,4,0,0,0,RandD,low
1791,0.97,0.8,3,169,3,0,0,0,marketing,low
1792,0.68,0.7,5,168,2,0,0,0,accounting,medium
1793,0.87,0.9,4,214,3,0,0,0,technical,medium
1794,0.5,0.91,5,224,2,1,0,0,management,medium
1795,0.79,0.61,5,96,4,0,0,0,marketing,medium
1796,0.6,0.62,4,135,2,1,0,0,sales,medium
1797,0.69,0.87,3,202,2,0,0,0,sales,medium
1798,0.68,0.85,2,180,6,0,0,0,sales,medium
1799,0.61,0.87,5,174,4,0,0,0,sales,medium
1800,0.5,0.96,4,147,3,0,0,0,sales,low
1801,0.49,0.74,2,263,3,1,0,0,sales,medium
1802,0.83,0.55,5,261,5,0,0,0,sales,medium
1803,0.59,0.71,2,176,2,1,0,0,sales,medium
1804,0.75,0.93,2,98,5,0,0,0,sales,medium
1805,0.66,0.48,3,192,3,1,0,0,sales,low
1806,0.68,0.51,4,157,3,0,0,0,sales,low
1807,0.73,0.58,5,230,3,0,0,0,sales,low
1808,0.86,0.65,3,161,3,0,0,0,sales,low
1809,0.5,0.55,3,176,3,0,0,0,sales,low
1810,0.76,0.76,3,216,3,0,0,0,sales,low
1811,0.3,0.47,4,176,2,0,0,0,sales,low
1812,0.64,0.59,3,174,3,1,0,0,accounting,low
1813,0.85,0.63,4,154,3,0,0,0,hr,low
1814,0.63,0.5,5,246,2,0,0,0,hr,low
1815,0.65,0.86,4,264,2,1,0,0,hr,low
1816,0.43,0.68,3,197,2,0,0,0,technical,low
1817,0.9,0.47,2,107,6,1,0,0,technical,low
1818,0.83,0.96,3,179,2,0,0,0,technical,low
1819,0.83,0.7,5,154,3,0,0,0,technical,medium
1820,0.64,0.55,4,167,3,1,0,0,technical,medium
1821,0.93,0.97,4,158,3,1,0,0,technical,medium
1822,0.74,0.69,3,230,2,0,0,0,support,medium
1823,0.56,0.75,5,143,5,0,0,0,support,medium
1824,0.61,0.77,4,142,3,0,0,0,support,medium
1825,0.24,0.62,5,169,4,0,0,0,support,medium
1826,0.46,0.64,2,121,3,0,0,0,support,medium
1827,0.68,0.48,4,251,4,0,0,0,support,high
1828,0.68,0.6,2,192,6,0,0,0,support,low
1829,0.15,0.56,6,140,5,0,0,0,support,medium
1830,0.55,0.49,3,152,2,0,0,0,technical,medium
1831,0.72,0.66,4,202,4,0,0,0,technical,medium
1832,0.3,0.91,4,248,4,0,0,0,management,low
1833,0.56,0.68,5,203,2,0,0,0,IT,low
1834,0.63,0.5,3,246,3,0,0,0,product_mng,low
1835,0.65,0.42,6,220,2,0,0,0,product_mng,low
1836,0.56,0.81,3,145,2,0,0,0,product_mng,low
1837,0.32,0.73,6,194,5,0,0,0,product_mng,low
1838,0.8,0.9,4,241,2,0,0,0,IT,low
1839,0.34,0.87,6,175,4,0,0,0,RandD,low
1840,0.62,0.71,5,149,2,0,0,0,RandD,low
1841,0.5,0.86,3,253,2,0,0,0,RandD,low
1842,0.58,0.98,5,218,3,0,0,0,RandD,low
1843,0.94,0.9,2,263,3,0,0,0,RandD,low
1844,0.2,0.74,6,148,4,0,0,0,marketing,low
1845,0.91,0.67,2,255,4,0,0,0,accounting,low
1846,0.82,0.55,3,217,4,1,0,0,technical,medium
1847,0.54,0.96,3,201,3,0,0,0,management,medium
1848,0.53,0.81,3,253,3,0,0,0,marketing,medium
1849,0.5,0.68,4,161,3,0,0,0,sales,medium
1850,0.89,0.69,3,173,3,0,0,0,sales,medium
1851,0.54,0.49,4,152,3,1,0,0,sales,medium
1852,0.62,0.85,3,145,3,0,0,0,sales,medium
1853,0.84,0.99,2,184,2,0,0,0,sales,high
1854,0.69,0.65,4,232,2,1,0,0,sales,low
1855,0.76,0.63,3,162,2,0,0,0,sales,medium
1856,0.4,0.47,5,108,3,0,0,0,sales,medium
1857,0.76,0.4,2,122,5,0,0,0,sales,low
1858,0.98,0.63,3,285,6,0,0,0,sales,low
1859,0.54,0.56,4,227,3,0,0,0,sales,low
1860,0.5,0.95,5,194,3,0,0,0,sales,low
1861,0.52,0.72,3,253,3,0,0,0,accounting,low
1862,0.89,0.95,4,141,3,0,0,0,accounting,low
1863,0.51,0.81,3,143,2,0,0,0,hr,low
1864,0.35,0.52,5,244,3,0,0,0,hr,low
1865,0.72,0.84,4,186,3,0,0,0,hr,low
1866,0.61,0.93,2,247,3,0,0,0,technical,low
1867,0.17,0.93,3,218,4,0,0,0,technical,low
1868,0.71,0.88,3,140,2,0,0,0,technical,low
1869,0.88,0.52,4,166,2,0,0,0,technical,low
1870,0.48,1.0,3,216,2,0,0,0,technical,low
1871,0.16,0.97,6,235,3,0,0,0,technical,low
1872,0.62,0.72,3,188,3,0,0,0,technical,low
1873,0.14,0.9,4,198,4,0,0,0,technical,medium
1874,0.96,0.92,4,148,3,0,0,0,technical,medium
1875,0.96,0.42,6,101,4,0,0,0,technical,medium
1876,0.13,0.89,4,249,6,1,0,0,support,medium
1877,0.64,0.67,5,198,2,1,0,0,support,medium
1878,0.57,0.72,3,202,3,1,0,0,support,medium
1879,0.49,1.0,3,176,3,0,0,0,support,medium
1880,0.89,0.79,4,133,2,0,0,0,support,medium
1881,0.94,0.75,5,238,2,0,0,0,support,medium
1882,0.51,0.58,2,181,4,0,0,0,support,medium
1883,0.74,0.51,4,185,2,1,0,0,support,low
1884,0.66,0.85,4,237,3,1,0,0,support,medium
1885,0.66,0.99,5,244,3,0,0,0,technical,medium
1886,0.59,0.62,3,178,4,0,0,0,technical,medium
1887,0.91,0.57,3,164,3,0,0,0,technical,medium
1888,0.83,0.98,5,189,4,1,0,0,management,low
1889,0.5,0.91,3,212,2,0,0,0,IT,low
1890,0.37,0.43,2,155,2,0,0,0,IT,low
1891,0.9,0.98,4,257,3,0,0,0,IT,low
1892,0.68,0.41,4,254,5,0,0,0,product_mng,low
1893,0.93,0.63,4,143,3,1,0,0,product_mng,low
1894,0.64,0.9,2,101,6,0,0,0,IT,low
1895,0.96,0.37,2,159,6,0,0,0,RandD,low
1896,0.75,0.89,3,196,3,0,0,0,RandD,low
1897,0.62,0.9,4,155,4,0,0,0,sales,low
1898,0.63,0.67,5,263,3,0,0,0,technical,medium
1899,0.84,0.92,4,274,3,0,0,0,management,medium
1900,0.49,0.96,3,140,3,0,0,0,marketing,medium
1901,0.54,0.78,4,176,2,0,0,0,marketing,medium
1902,0.52,0.78,4,206,2,0,0,0,marketing,medium
1903,0.66,0.63,6,223,6,0,0,0,sales,medium
1904,0.73,0.41,2,231,6,1,0,0,sales,medium
1905,0.72,0.68,5,266,4,0,0,0,sales,medium
1906,0.42,0.94,5,227,5,0,0,0,sales,medium
1907,0.13,0.69,4,127,4,0,0,0,sales,high
1908,0.73,0.88,5,204,5,0,0,0,sales,low
1909,0.5,0.95,5,137,3,0,0,0,sales,medium
1910,0.92,0.62,4,265,3,1,0,0,sales,medium
1911,0.73,0.66,3,135,2,0,0,0,sales,medium
1912,0.74,0.38,2,126,3,0,0,0,sales,medium
1913,0.76,0.78,3,189,2,0,0,0,sales,low
1914,0.56,0.66,3,232,2,0,0,0,sales,low
1915,0.86,0.86,3,155,4,0,0,0,accounting,low
1916,0.82,0.74,3,232,3,0,0,0,hr,low
1917,0.93,0.99,4,136,4,0,0,0,hr,low
1918,0.55,0.77,3,237,2,0,0,0,hr,low
1919,0.24,0.65,6,194,3,0,0,0,technical,low
1920,0.99,0.56,3,193,3,1,0,0,technical,medium
1921,0.77,0.93,5,182,4,0,0,0,support,medium
1922,0.54,0.95,3,221,3,0,0,0,support,medium
1923,0.69,0.82,4,208,2,0,0,0,support,medium
1924,0.66,0.65,5,161,3,0,0,0,support,medium
1925,0.51,0.65,4,269,3,0,0,0,support,medium
1926,0.74,0.59,4,155,3,0,0,0,support,medium
1927,0.2,0.77,6,213,4,0,0,0,support,low
1928,0.57,0.6,3,202,3,0,0,0,technical,medium
1929,0.75,0.78,2,251,6,0,0,0,technical,medium
1930,0.79,0.48,4,184,5,1,0,0,IT,low
1931,0.66,0.75,4,203,3,1,0,0,IT,low
1932,0.96,0.69,3,214,2,1,0,0,IT,low
1933,0.73,0.69,4,161,3,0,0,0,IT,low
1934,0.29,0.58,5,234,2,0,0,0,product_mng,low
1935,0.72,0.58,4,149,3,0,0,0,product_mng,low
1936,0.94,0.87,4,240,3,0,0,0,product_mng,low
1937,0.48,0.56,5,140,2,0,0,0,IT,low
1938,0.97,0.58,5,156,2,1,0,0,RandD,low
1939,0.74,0.41,4,250,4,0,0,0,RandD,low
1940,0.97,0.61,3,165,2,0,0,0,RandD,low
1941,0.88,0.67,5,260,3,1,0,0,RandD,low
1942,0.5,0.7,3,274,3,0,0,0,marketing,low
1943,0.69,0.53,3,142,3,0,0,0,support,low
1944,0.53,0.67,4,167,2,0,0,0,management,low
1945,0.32,0.8,3,263,3,0,0,0,marketing,medium
1946,0.73,0.75,3,259,4,0,0,0,marketing,medium
1947,0.77,0.61,4,223,3,0,0,0,marketing,medium
1948,0.59,0.81,6,123,5,0,0,0,sales,medium
1949,0.19,0.51,5,226,3,0,0,0,sales,medium
1950,0.78,0.95,3,270,2,0,0,0,sales,medium
1951,0.84,0.74,3,139,3,0,0,0,sales,medium
1952,0.65,0.77,5,241,2,0,0,0,sales,medium
1953,0.38,0.43,2,160,6,0,0,0,sales,medium
1954,0.67,0.82,4,171,2,0,0,0,sales,medium
1955,0.5,0.79,3,186,3,0,0,0,sales,high
1956,0.69,0.55,5,242,2,0,0,0,sales,medium
1957,0.5,0.89,5,222,3,0,0,0,sales,low
1958,0.82,0.84,3,139,2,1,0,0,sales,low
1959,0.68,0.56,4,272,3,0,0,0,sales,low
1960,0.82,0.69,4,262,2,0,0,0,sales,low
1961,0.32,0.81,2,249,3,0,0,0,accounting,low
1962,0.93,0.86,4,219,3,0,0,0,accounting,low
1963,0.42,0.73,4,208,5,0,0,0,accounting,low
1964,0.56,0.88,3,174,3,0,0,0,hr,low
1965,0.97,0.65,3,219,2,0,0,0,technical,low
1966,0.52,0.67,4,210,3,1,0,0,technical,low
1967,0.54,0.64,2,219,3,0,0,0,technical,low
1968,0.54,0.98,3,197,3,0,0,0,technical,low
1969,0.67,0.52,2,102,6,0,0,0,technical,low
1970,0.68,0.51,4,224,2,0,0,0,technical,low
1971,0.65,0.98,3,283,2,1,0,0,technical,low
1972,0.72,0.98,5,197,4,0,0,0,technical,low
1973,0.8,0.58,4,172,3,0,0,0,support,medium
1974,0.83,0.93,4,261,2,0,0,0,support,medium
1975,0.15,0.86,3,204,4,0,0,0,support,medium
1976,0.96,0.62,4,217,2,0,0,0,support,medium
1977,0.88,0.59,5,230,3,0,0,0,support,medium
1978,0.85,0.79,3,157,4,0,0,0,support,medium
1979,0.75,0.7,5,269,3,0,0,0,support,medium
1980,0.38,0.77,2,170,3,0,0,0,technical,high
1981,0.78,0.51,4,278,3,0,0,0,management,medium
1982,0.99,0.84,5,138,2,0,0,0,IT,medium
1983,0.72,0.87,3,238,3,0,0,0,IT,medium
1984,0.14,0.83,5,175,6,1,0,0,IT,low
1985,0.81,0.67,4,216,3,0,0,0,IT,low
1986,0.73,0.86,4,196,4,1,0,0,IT,low
1987,0.58,0.8,5,187,3,1,0,0,product_mng,low
1988,0.24,0.85,4,155,5,0,0,0,product_mng,low
1989,0.31,0.86,3,205,5,0,0,0,product_mng,low
1990,0.86,0.69,5,157,3,0,0,0,IT,low
1991,0.22,0.8,4,287,4,0,0,0,RandD,low
1992,0.21,0.76,5,239,2,0,0,0,RandD,low
1993,0.95,0.61,3,267,2,0,0,0,RandD,low
1994,0.88,0.86,3,187,3,0,0,0,marketing,low
1995,0.67,0.61,4,140,2,0,0,0,sales,low
1996,0.64,0.71,3,181,2,0,0,0,technical,low
1997,0.98,0.5,4,207,3,0,0,0,marketing,low
1998,0.44,0.9,4,117,3,0,0,0,sales,medium
1999,0.74,0.48,5,144,3,0,0,0,sales,medium
2000,0.66,0.52,3,149,4,1,0,0,sales,medium
2001,0.64,0.96,4,152,5,0,0,0,sales,medium
2002,0.5,0.59,4,192,2,0,0,0,sales,medium
2003,0.88,0.68,4,274,4,0,0,0,sales,medium
2004,0.72,0.47,5,168,6,0,0,0,sales,high
2005,0.66,0.75,5,227,3,1,0,0,sales,medium
2006,0.75,0.66,5,177,2,0,0,0,sales,low
2007,0.42,0.89,6,188,5,1,0,0,sales,low
2008,0.84,0.85,3,153,4,0,0,0,accounting,low
2009,0.95,0.79,4,174,3,0,0,0,accounting,low
2010,0.95,0.71,3,251,2,1,0,0,hr,low
2011,0.62,0.89,3,153,3,1,0,0,hr,low
2012,0.89,0.73,3,210,2,0,0,0,hr,low
2013,0.73,0.93,5,167,3,0,0,0,hr,low
2014,0.86,0.94,3,151,2,0,0,0,technical,low
2015,0.91,0.76,3,116,5,0,0,0,technical,low
2016,1.0,0.81,5,178,2,0,0,0,technical,low
2017,0.65,0.89,3,151,2,0,0,0,technical,low
2018,0.83,0.82,5,179,3,0,0,0,technical,low
2019,0.75,1.0,4,135,4,0,0,0,technical,low
2020,0.82,0.63,4,232,4,0,0,0,technical,low
2021,0.69,0.68,4,168,3,0,0,0,technical,low
2022,0.52,0.64,5,258,2,0,0,0,support,medium
2023,0.74,0.86,3,221,2,0,0,0,support,medium
2024,0.59,0.65,5,161,2,0,0,0,support,medium
2025,0.98,0.8,4,134,2,1,0,0,support,medium
2026,0.49,0.95,4,181,3,0,0,0,support,medium
2027,0.34,0.82,6,197,5,1,0,0,technical,medium
2028,0.71,0.77,3,145,3,0,0,0,technical,high
2029,0.6,0.64,5,221,2,0,0,0,technical,low
2030,0.12,0.78,6,260,5,0,0,0,management,medium
2031,0.16,0.87,3,99,5,1,0,0,IT,medium
2032,0.57,0.61,3,243,3,0,0,0,IT,medium
2033,0.72,0.8,5,244,3,0,0,0,IT,medium
2034,0.91,0.55,4,179,4,0,0,0,IT,low
2035,0.95,0.49,4,146,6,1,0,0,IT,low
2036,0.71,0.9,3,262,2,1,0,0,product_mng,low
2037,0.9,0.69,4,174,2,0,0,0,product_mng,low
2038,0.66,0.81,4,148,4,0,0,0,product_mng,low
2039,0.48,0.59,5,235,3,0,0,0,product_mng,low
2040,0.82,0.82,5,285,2,1,0,0,IT,low
2041,0.83,0.79,4,143,3,0,0,0,RandD,low
2042,0.85,0.82,6,141,5,0,0,0,RandD,low
2043,0.99,0.51,4,232,3,0,0,0,RandD,low
2044,0.54,0.72,3,172,2,0,0,0,RandD,low
2045,0.64,0.42,5,283,5,0,0,0,marketing,low
2046,0.48,0.54,2,144,3,0,0,0,accounting,low
2047,0.58,0.77,4,145,3,1,0,0,support,low
2048,0.54,0.59,3,200,3,0,0,0,technical,low
2049,0.25,0.65,3,264,4,0,0,0,management,low
2050,0.9,0.53,3,215,3,0,0,0,marketing,low
2051,0.48,0.39,4,272,3,0,0,0,marketing,low
2052,0.76,0.9,5,142,3,0,0,0,marketing,low
2053,0.72,0.53,5,240,2,0,0,0,sales,medium
2054,0.95,0.66,4,168,2,0,0,0,sales,medium
2055,0.89,0.61,3,175,4,0,0,0,sales,medium
2056,0.7,0.97,4,244,3,0,0,0,sales,medium
2057,0.98,0.57,3,198,3,0,0,0,sales,medium
2058,0.72,0.65,5,151,3,0,0,0,sales,medium
2059,0.49,0.69,2,188,4,0,0,0,sales,medium
2060,0.15,0.85,3,199,2,0,0,0,sales,medium
2061,0.21,0.81,4,144,4,0,0,0,sales,medium
2062,0.46,0.57,4,275,3,0,0,0,sales,high
2063,0.56,0.52,3,243,3,0,0,0,sales,low
2064,0.81,0.66,3,181,2,1,0,0,sales,medium
2065,0.93,0.59,5,172,3,0,0,0,sales,medium
2066,0.82,0.97,3,244,5,0,0,0,sales,medium
2067,0.76,0.51,4,242,3,0,0,0,sales,medium
2068,0.97,0.81,3,249,2,0,0,0,sales,low
2069,0.38,0.81,5,128,3,1,0,0,accounting,low
2070,0.46,0.49,3,213,3,0,0,0,accounting,low
2071,0.17,0.76,4,280,5,0,0,0,hr,low
2072,0.59,0.56,4,221,3,1,0,0,technical,low
2073,0.49,0.61,5,133,3,0,0,0,technical,low
2074,0.49,0.58,3,136,4,1,0,0,technical,low
2075,0.81,0.79,5,135,3,0,0,0,technical,low
2076,0.74,0.63,3,231,3,0,0,0,technical,low
2077,0.91,0.98,3,259,4,0,0,0,technical,low
2078,0.71,0.66,3,238,2,0,0,0,technical,low
2079,0.73,0.71,3,210,3,0,0,0,technical,low
2080,0.8,0.54,4,258,3,0,0,0,support,low
2081,0.99,0.75,4,208,2,0,0,0,support,medium
2082,0.96,0.82,4,274,3,0,0,0,support,medium
2083,0.45,0.39,2,167,3,0,0,0,support,medium
2084,0.74,0.96,4,154,4,0,0,0,support,medium
2085,0.25,0.83,3,257,5,1,0,0,technical,medium
2086,0.98,0.84,3,286,4,0,0,0,technical,medium
2087,0.3,0.64,2,137,3,0,0,0,management,high
2088,0.21,0.52,5,130,2,0,0,0,IT,low
2089,0.75,0.96,3,138,2,0,0,0,IT,medium
2090,0.5,0.77,3,166,3,0,0,0,IT,medium
2091,0.61,0.92,4,159,5,0,0,0,IT,medium
2092,0.84,0.68,3,231,3,0,0,0,product_mng,low
2093,0.48,0.37,3,181,2,0,0,0,IT,low
2094,0.84,0.79,4,222,3,0,0,0,RandD,low
2095,0.49,0.71,3,196,3,0,0,0,RandD,low
2096,0.67,0.93,3,206,3,0,0,0,RandD,low
2097,0.12,0.93,6,257,6,1,0,0,RandD,low
2098,0.17,0.59,5,250,5,0,0,0,marketing,low
2099,0.58,0.66,3,250,5,0,0,0,sales,low
2100,0.35,0.69,3,141,2,1,0,0,support,low
2101,0.91,0.54,3,210,2,0,0,0,marketing,low
2102,0.72,0.66,3,152,2,0,0,0,marketing,low
2103,0.51,0.39,3,149,3,0,0,0,marketing,low
2104,0.66,0.76,3,139,5,0,0,0,sales,low
2105,0.84,0.41,6,255,6,1,0,0,sales,medium
